,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
1320,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1321,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
1322,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
1323,Hen phế quản,mệt mỏi,ho,khó thở,di tuyền gia đình
1324,Hen phế quản,mệt mỏi,ho,sốt cao,di tuyền gia đình
1325,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1326,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1327,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
1328,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
1329,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
1330,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1331,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
1332,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
1333,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1334,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1335,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1336,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
1337,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
1338,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
1339,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
1340,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1341,Chứng đau nửa đầu,khó tiêu,đau đầu,thị lực mờ,cảm giác đói quá mức
1342,Chứng đau nửa đầu,ợ chua,đau đầu,thị lực mờ,cảm giác đói quá mức
1343,Chứng đau nửa đầu,ợ chua,khó tiêu,thị lực mờ,cảm giác đói quá mức
1344,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,cảm giác đói quá mức
1345,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1346,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1347,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1348,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1349,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
1350,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1351,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1352,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
1353,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
1354,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,chóng mặt,chóng mặt
1355,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1356,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1357,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
1358,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
1359,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
1360,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1361,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1362,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
1363,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
1364,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
1365,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,
1366,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
1367,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
1368,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
1369,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
1370,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1371,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1372,Vàng da,nôn mửa,mệt mỏi,tụt cân,sốt cao
1373,Vàng da,ngứa,mệt mỏi,tụt cân,sốt cao
1374,Vàng da,ngứa,nôn mửa,tụt cân,sốt cao
1375,Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao
1376,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1377,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1378,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1379,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
1380,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1381,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1382,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1383,Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu
1384,Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu
1385,Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu
1386,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu
1387,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1388,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1389,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
1390,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1391,Thủy đậu,phát ban da,mệt mỏi,hôn mê,sốt cao
1392,Thủy đậu,ngứa,mệt mỏi,hôn mê,sốt cao
1393,Thủy đậu,ngứa,phát ban da,hôn mê,sốt cao
1394,Thủy đậu,ngứa,phát ban da,mệt mỏi,sốt cao
1395,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1396,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1397,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1398,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1399,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
1400,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1401,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1402,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1403,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1404,Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi
1405,Sốt xuất huyết,phát ban da,đau khớp,nôn mửa,mệt mỏi
1406,Sốt xuất huyết,phát ban da,ớn lạnh,nôn mửa,mệt mỏi
1407,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,mệt mỏi
1408,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1409,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
1410,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1411,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1412,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1413,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1414,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1415,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1416,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1417,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1418,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
1419,Bệnh thương hàn,ớn lạnh,mệt mỏi,sốt cao,đau đầu
1420,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1421,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1422,Viêm gan A,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn
1423,Viêm gan A,đau khớp,vàng da,nước tiểu sẫm màu,buồn nôn
1424,Viêm gan A,đau khớp,nôn mửa,nước tiểu sẫm màu,buồn nôn
1425,Viêm gan A,đau khớp,nôn mửa,vàng da,buồn nôn
1426,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1427,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1428,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1429,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1430,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1431,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1432,Viêm gan B,mệt mỏi,hôn mê,vàng da,nước tiểu sẫm màu
1433,Viêm gan B,ngứa,hôn mê,vàng da,nước tiểu sẫm màu
1434,Viêm gan B,ngứa,mệt mỏi,vàng da,nước tiểu sẫm màu
1435,Viêm gan B,ngứa,mệt mỏi,hôn mê,nước tiểu sẫm màu
1436,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1437,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1438,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1439,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
1440,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1441,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1442,Viêm gan C,vàng da,buồn nôn,không thèm ăn,mắt vàng
1443,Viêm gan C,mệt mỏi,buồn nôn,không thèm ăn,mắt vàng
1444,Viêm gan C,mệt mỏi,vàng da,không thèm ăn,mắt vàng
1445,Viêm gan C,mệt mỏi,vàng da,buồn nôn,mắt vàng
1446,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1447,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1448,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1449,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
1450,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1451,Viêm gan D,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu
1452,Viêm gan D,đau khớp,mệt mỏi,vàng da,nước tiểu sẫm màu
1453,Viêm gan D,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
1454,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,nước tiểu sẫm màu
1455,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1456,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1457,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1458,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1459,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
1460,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1461,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1462,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1463,Viêm gan E,nôn mửa,mệt mỏi,sốt cao,vàng da
1464,Viêm gan E,đau khớp,mệt mỏi,sốt cao,vàng da
1465,Viêm gan E,đau khớp,nôn mửa,sốt cao,vàng da
1466,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,vàng da
1467,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1468,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1469,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
1470,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1471,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1472,Viêm gan Do rượu,vàng da,đau bụng,sưng dạ dày,chướng bụng
1473,Viêm gan Do rượu,nôn mửa,đau bụng,sưng dạ dày,chướng bụng
1474,Viêm gan Do rượu,nôn mửa,vàng da,sưng dạ dày,chướng bụng
1475,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,chướng bụng
1476,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1477,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1478,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1479,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
1480,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1481,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1482,Bệnh lao,nôn mửa,mệt mỏi,tụt cân,ho
1483,Bệnh lao,ớn lạnh,mệt mỏi,tụt cân,ho
1484,Bệnh lao,ớn lạnh,nôn mửa,tụt cân,ho
1485,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,ho
1486,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1487,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1488,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1489,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
1490,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1491,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1492,Cảm lạnh thông thường,ớn lạnh,mệt mỏi,ho,sốt cao
1493,Cảm lạnh thông thường,hắt hơi liên tục,mệt mỏi,ho,sốt cao
1494,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,ho,sốt cao
1495,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,sốt cao
1496,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1497,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1498,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1499,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
1500,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1501,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1502,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1503,Viêm phổi,mệt mỏi,ho,sốt cao,khó thở
1504,Viêm phổi,ớn lạnh,ho,sốt cao,khó thở
1505,Viêm phổi,ớn lạnh,mệt mỏi,sốt cao,khó thở
1506,Viêm phổi,ớn lạnh,mệt mỏi,ho,khó thở
1507,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1508,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1509,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
1510,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1511,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1512,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1513,Bệnh trĩ lưỡng hình (cọc),đau khi đi tiểu,đau hậu môn,phân có máu,ngứa hậu môn
1514,Bệnh trĩ lưỡng hình (cọc),táo bón,đau hậu môn,phân có máu,ngứa hậu môn
1515,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,phân có máu,ngứa hậu môn
1516,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,ngứa hậu môn
1517,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1518,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1519,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
1520,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
1521,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
1522,Đau tim,khó thở,đổ mồ hôi,đau ngực,
1523,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
1524,Đau tim,nôn mửa,khó thở,đau ngực,
1525,Đau tim,nôn mửa,khó thở,đổ mồ hôi,
1526,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
1527,Đau tim,khó thở,đổ mồ hôi,đau ngực,
1528,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
1529,Đau tim,nôn mửa,khó thở,đau ngực,
1530,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1531,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1532,Giãn tĩnh mạch,chuột rút,bầm tím,béo phì,sưng chân
1533,Giãn tĩnh mạch,mệt mỏi,bầm tím,béo phì,sưng chân
1534,Giãn tĩnh mạch,mệt mỏi,chuột rút,béo phì,sưng chân
1535,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,sưng chân
1536,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1537,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1538,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1539,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
1540,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
1541,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
1542,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
1543,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
1544,Suy giáp,mệt mỏi,tay và chân lạnh,tâm trạng thất thường,hôn mê
1545,Suy giáp,mệt mỏi,tăng cân,tâm trạng thất thường,hôn mê
1546,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,hôn mê
1547,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
1548,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
1549,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
1550,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1551,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1552,Bệnh cường giáp,tâm trạng thất thường,tụt cân,bồn chồn,đổ mồ hôi
1553,Bệnh cường giáp,mệt mỏi,tụt cân,bồn chồn,đổ mồ hôi
1554,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,bồn chồn,đổ mồ hôi
1555,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,đổ mồ hôi
1556,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1557,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1558,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1559,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
1560,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1561,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1562,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1563,Hạ đường huyết,mệt mỏi,lo âu,đổ mồ hôi,đau đầu
1564,Hạ đường huyết,nôn mửa,lo âu,đổ mồ hôi,đau đầu
1565,Hạ đường huyết,nôn mửa,mệt mỏi,đổ mồ hôi,đau đầu
1566,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đau đầu
1567,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1568,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1569,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
1570,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1571,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1572,Viêm xương khớp,đau cổ,đau đầu gối,đau khớp hông,sưng khớp
1573,Viêm xương khớp,đau khớp,đau đầu gối,đau khớp hông,sưng khớp
1574,Viêm xương khớp,đau khớp,đau cổ,đau khớp hông,sưng khớp
1575,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,sưng khớp
1576,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1577,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1578,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1579,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
1580,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1581,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1582,Viêm khớp,cổ cứng,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
1583,Viêm khớp,yếu cơ,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
1584,Viêm khớp,yếu cơ,cổ cứng,cứng cổ không xoay được,đau khi đi bộ
1585,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,đau khi đi bộ
1586,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1587,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1588,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1589,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
1590,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
1591,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
1592,(Chóng mặt) Chóng mặt tư thế kịch phát,đau đầu,buồn nôn,cứng cơ,chóng mặt
1593,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,buồn nôn,cứng cơ,chóng mặt
1594,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,cứng cơ,chóng mặt
1595,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
1596,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
1597,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
1598,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
1599,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
1600,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
1601,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
1602,Mụn trứng cá,nổi mụn mủ,mụn đầu đen,thiếu vitamin c,
1603,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
1604,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
1605,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
1606,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
1607,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
1608,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
1609,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
1610,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
1611,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
1612,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
1613,Nhiễm trùng đường tiết niệu,đi tiểu rát,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
1614,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
1615,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,
1616,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
1617,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
1618,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
1619,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
1620,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1621,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1622,Bệnh vẩy nến,đau khớp,bong tróc da,da bị vẩy,móng tay bị lõm
1623,Bệnh vẩy nến,phát ban da,bong tróc da,da bị vẩy,móng tay bị lõm
1624,Bệnh vẩy nến,phát ban da,đau khớp,da bị vẩy,móng tay bị lõm
1625,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,móng tay bị lõm
1626,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1627,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1628,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1629,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
1630,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
1631,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
1632,Bệnh chốc lở,sốt cao,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
1633,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
1634,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
1635,Bệnh chốc lở,phát ban da,sốt cao,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
1636,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,rỉ ra vỏ màu vàng
1637,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
1638,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
1639,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
1640,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
1641,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
1642,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
1643,Nhiễm trùng nấm,ngứa,phát ban da,,
1644,Nhiễm trùng nấm,ngứa,phát ban da,nổi mụn nút trên da,
1645,Nhiễm trùng nấm,phát ban da,nổi mụn nút trên da,,
1646,Nhiễm trùng nấm,ngứa,nổi mụn nút trên da,,
